"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 21","59,170.7","45,160.5","61,795.8","45,008.8","2.94M","31.01%"
"Feb 21","45,164.0","33,106.8","58,335.1","32,324.9","4.01M","36.41%"
"Jan 21","33,108.1","28,951.7","41,921.7","28,204.5","5.50M","14.37%"
"Dec 20","28,949.4","19,697.8","29,298.8","17,600.1","3.85M","46.97%"
"Nov 20","19,698.1","18,394.6","19,831.2","16,235.2","4.05M","42.77%"
"Oct 20","13,797.3","10,776.6","14,065.4","10,387.6","2.41M","28.04%"
"Sep 20","10,776.1","11,644.2","12,045.9","9,877.1","83.88M","-7.46%"
"Aug 20","11,644.2","11,333.2","12,444.1","10,730.7","15.39M","2.74%"
"Jul 20","11,333.4","10,961.1","11,434.8","10,771.8","13.21M","24.06%"
"Jun 20","9,135.4","9,454.5","10,301.8","8,865.3","15.35M","-3.38%"
"May 20","9,454.8","8,628.6","10,033.0","8,235.6","38.48M","9.57%"
"Apr 20","8,629.0","6,412.4","9,437.5","6,157.4","39.41M","34.56%"
"Mar 20","6,412.5","8,543.8","9,180.8","3,869.5","48.24M","-24.94%"
"Feb 20","8,543.7","9,349.3","10,482.6","8,543.7","23.76M","-8.62%"
"Jan 20","9,349.1","7,196.4","9,569.0","6,884.1","23.56M","29.91%"
"Dec 19","7,196.4","7,546.5","7,702.2","6,462.2","21.03M","-4.64%"
"Nov 19","7,546.6","9,153.1","9,500.4","6,534.8","21.33M","-17.55%"
"Oct 19","9,152.6","8,285.0","10,540.0","7,329.2","19.93M","10.48%"
"Sep 19","8,284.3","9,594.7","10,896.2","7,749.0","13.58M","-13.65%"
"Aug 19","9,594.4","10,081.9","12,291.9","9,343.0","17.53M","-4.84%"
"Jul 19","10,082.0","10,821.4","13,134.4","9,082.6","23.61M","-6.81%"
"Jun 19","10,818.6","8,556.9","13,929.8","7,480.4","22.96M","26.41%"
"May 19","8,558.3","5,321.1","9,045.9","5,319.5","44.06M","60.85%"
